tasks_completed,tasks_pending,focus_hours,break_hours,sleep_hours,stress_level,burnout
2,8,8,0,3,8,66
10,10,4,1,6,7,94
8,9,8,1,7,10,100
6,1,7,0,6,10,64
6,10,6,0,5,8,91
11,6,8,0,7,4,51
2,4,5,0,5,6,22
9,6,6,1,7,5,49
3,12,3,0,5,7,83
2,11,8,2,3,9,76
7,10,5,0,6,4,60
12,6,7,1,3,6,61
9,10,4,2,8,1,38
10,5,7,1,6,8,78
9,8,1,2,5,5,56
10,8,1,0,5,5,64
7,3,5,0,6,6,45
2,3,6,0,4,3,0
11,0,7,0,4,6,34
6,1,4,0,5,8,41
7,5,6,0,4,4,25
5,6,5,2,7,2,0
3,2,8,0,3,4,0
12,5,6,2,7,2,24
10,7,4,2,5,4,42
8,3,8,2,6,7,39
5,4,1,0,3,2,0
10,4,8,2,5,8,68
7,6,2,1,7,3,28
6,4,3,2,4,9,63
6,9,7,1,3,8,74
3,4,6,2,6,3,0
2,5,8,1,3,6,22
7,4,6,0,4,2,0
11,2,6,1,5,1,0
1,8,3,0,6,10,88
11,3,1,2,6,9,79
10,3,1,0,7,2,9
4,10,3,0,8,3,41
8,12,1,1,3,2,40
2,8,5,1,5,4,21
10,11,7,0,3,3,54
9,11,8,2,3,4,52
5,6,4,2,4,6,36
1,10,8,2,6,2,6
12,4,8,1,8,9,95
6,5,7,1,7,8,65
11,6,4,1,6,8,89
9,12,3,1,7,2,50
10,11,8,0,4,8,100
10,6,2,0,8,9,100
3,8,4,0,8,2,17
5,2,1,1,3,8,40
6,10,7,0,5,4,46
6,7,6,0,7,8,77
1,6,1,2,5,5,15
7,9,2,1,8,9,100
2,8,5,1,8,2,9
9,0,5,1,5,4,3
9,3,7,2,3,3,1
12,2,3,2,5,3,15
9,9,8,0,4,4,55
5,0,4,2,5,4,0
12,2,7,1,6,2,2
5,7,2,2,5,8,68
4,9,1,1,4,6,57
11,6,1,0,4,9,100
5,11,3,2,7,8,90
1,11,8,0,3,2,12
6,1,1,2,4,1,0
10,12,3,0,8,5,100
3,7,1,0,3,5,28
6,8,8,1,5,3,24
2,1,6,2,4,8,19
9,8,7,1,3,6,63
6,9,6,0,5,8,85
4,7,6,0,6,2,10
3,1,7,2,4,9,33
7,6,1,2,3,3,11
9,12,7,0,3,5,79
12,9,6,1,6,5,77
6,1,6,0,8,9,66
2,12,4,0,4,3,32
10,12,7,2,4,3,54
8,2,4,1,5,4,11
9,10,1,0,5,4,66
2,5,8,1,4,2,0
4,7,2,1,3,2,0
10,5,1,0,6,3,28
10,10,5,1,5,5,73
6,12,2,0,5,4,61
10,10,7,0,4,4,62
11,12,4,2,8,8,100
5,12,1,2,6,3,42
11,1,8,0,5,10,83
4,3,5,2,4,8,36
3,9,3,1,7,2,17
9,7,6,2,8,4,47
8,0,5,2,3,2,0
2,1,1,1,8,3,0
10,6,7,1,7,4,48
3,8,4,1,3,2,0
10,2,6,2,7,1,0
1,2,8,0,3,5,0
10,1,5,0,3,8,51
10,7,6,0,3,4,48
10,0,3,0,5,9,67
8,7,2,0,6,4,47
6,6,4,0,5,10,93
9,6,7,2,3,3,16
4,8,5,0,4,6,53
10,6,3,2,8,8,86
7,9,7,0,8,1,26
6,9,7,2,7,10,100
7,11,8,0,3,4,53
7,10,3,1,7,5,66
1,6,6,0,7,7,44
2,6,5,1,6,7,42
3,3,4,1,3,1,0
2,7,4,1,8,9,78
6,1,1,1,5,7,35
9,12,3,1,3,10,100
8,10,5,2,4,5,54
6,1,8,1,5,7,30
11,10,7,1,3,5,74
7,1,2,0,4,9,55
1,9,6,1,5,9,75
10,1,1,0,8,10,84
7,6,6,0,3,6,49
8,8,3,2,6,8,82
7,9,4,0,8,4,58
7,5,6,1,7,5,35
2,11,4,2,8,8,85
7,10,7,2,4,1,15
10,2,5,0,7,8,68
4,8,8,0,8,1,5
8,9,6,1,4,6,62
1,4,3,1,5,5,6
5,9,7,2,6,5,45
6,11,4,0,5,5,64
12,10,5,0,4,5,83
3,9,2,0,8,5,53
4,8,1,2,8,5,42
5,3,5,0,5,6,29
12,10,2,1,7,8,100
11,4,8,0,5,6,59
1,6,7,0,7,7,46
3,4,6,2,6,9,55
10,4,6,0,5,10,93
1,2,5,0,3,2,0
11,12,1,2,6,8,100
4,1,4,1,4,3,0
12,1,4,0,4,2,3
4,12,8,1,4,8,87
6,7,2,2,8,1,6
8,5,4,1,3,9,76
2,9,3,1,7,8,67
7,4,2,1,8,10,93
7,1,1,1,3,7,22
10,9,3,0,6,9,100
12,2,1,2,6,2,8
8,7,1,2,5,9,87
5,12,3,0,7,2,40
5,12,2,2,5,4,49
6,4,5,2,5,2,0
10,10,1,2,5,5,65
4,7,3,1,7,8,74
3,6,4,1,6,3,6
5,1,8,2,5,9,38
1,4,6,0,8,7,37
2,8,8,2,7,7,50
2,12,3,2,8,10,100
10,0,4,2,7,5,21
9,9,4,1,5,4,49
9,11,8,1,7,10,100
6,12,8,0,4,6,77
9,5,8,2,4,7,58
2,1,7,1,5,3,0
11,3,5,0,8,3,33
7,11,5,2,6,2,34
12,11,8,1,5,3,61
2,8,3,1,5,2,0
6,1,3,0,4,8,40
9,1,8,2,6,1,0
6,6,4,1,5,7,57
6,7,2,2,6,10,90
2,0,5,2,5,8,10
5,8,3,0,4,5,44
3,7,8,0,8,1,0
4,0,8,2,5,9,30
9,1,3,1,3,1,0
8,5,5,1,5,7,57
8,9,8,0,6,7,91
5,10,6,1,3,2,17
12,5,2,2,4,8,79
2,3,5,0,3,2,0
5,12,5,1,6,3,45
2,5,6,2,7,9,58
5,4,1,0,8,10,84
12,5,3,0,5,3,39
5,0,7,2,8,10,51
11,3,2,0,4,10,92
6,6,3,1,7,8,72
9,11,3,1,6,2,47
6,9,2,2,7,3,32
4,10,2,0,7,7,81
10,7,3,1,6,10,100
12,1,7,0,4,9,72
4,5,1,2,6,5,24
10,12,3,1,7,3,69
4,0,1,1,8,10,57
9,11,5,1,8,3,60
10,8,3,0,4,4,56
6,3,7,2,6,10,69
9,10,5,1,3,6,73
4,10,7,0,7,3,38
1,0,6,1,8,1,0
2,1,4,2,3,5,0
6,8,7,2,6,10,99
11,12,4,1,8,5,91
2,0,8,0,8,7,20
6,8,8,1,5,3,29
9,1,5,1,3,8,47
3,8,6,1,8,8,75
9,8,3,0,8,7,90
4,1,7,1,6,8,34
10,8,6,1,8,6,79
7,11,8,2,3,4,44
7,11,3,1,6,8,100
3,0,7,1,3,9,28
6,3,4,1,8,9,67
11,3,2,0,7,3,26
1,5,2,0,8,7,42
10,1,5,2,6,1,0
6,11,3,2,3,6,66
9,10,1,2,3,6,72
8,10,4,1,5,4,58
6,2,6,0,7,10,75
4,0,3,2,3,9,29
8,11,8,1,8,1,36
2,3,7,0,4,3,0
8,8,5,2,5,3,28
2,11,8,2,4,9,87
8,0,4,2,5,6,16
8,0,2,0,5,8,45
2,0,1,2,3,9,23
10,2,8,1,6,8,63
5,0,8,1,7,1,0
10,10,6,2,8,2,48
1,7,1,1,4,4,11
3,12,3,0,8,4,57
6,10,1,0,8,8,100
3,12,1,1,8,2,37
4,3,2,2,5,4,0
8,3,5,2,8,3,14
2,11,1,1,6,2,22
9,3,8,2,3,2,0
2,0,4,2,4,2,0
3,8,3,1,7,6,52
8,10,5,1,3,5,60
10,12,7,2,5,5,77
3,12,3,1,7,5,65
4,1,1,0,3,8,34
12,10,1,2,5,9,100
12,10,7,1,4,6,85
7,9,1,1,6,7,81
6,10,6,2,4,8,82
5,10,4,2,8,7,76
8,5,7,0,3,2,1
8,0,1,1,8,10,73
4,5,8,0,7,2,0
1,2,6,1,8,5,3
2,1,4,1,8,7,21
12,1,2,1,4,5,33
6,9,8,2,8,3,33
6,6,3,1,6,10,93
6,7,4,1,8,1,7
10,9,4,1,8,3,55
1,7,2,0,6,10,84
1,8,4,0,5,8,63
4,1,2,2,3,1,0
6,11,1,0,3,8,92
9,5,3,0,5,10,100
6,2,1,2,7,1,0
6,10,4,0,6,5,67
12,9,7,1,5,5,79
2,0,2,2,4,2,0
7,2,1,1,6,3,0
7,0,1,0,6,2,0
6,3,5,0,8,2,2
10,1,3,2,7,5,27
4,9,4,0,6,5,52
12,6,1,2,8,3,40
4,12,3,0,5,3,47
7,9,4,0,8,2,34
7,7,4,2,5,8,75
11,6,5,2,3,3,32
6,0,7,2,5,10,51
4,0,4,2,3,6,0
1,8,7,0,3,9,67
5,0,5,2,8,7,19
10,0,3,2,7,3,0
1,2,2,0,4,7,16
11,11,3,0,8,3,70
7,5,5,2,3,2,0
2,9,2,0,4,3,20
4,5,8,2,7,3,3
7,2,4,0,4,2,0
4,4,7,0,7,1,0
2,1,6,0,8,10,60
8,10,3,0,3,6,75
9,2,2,2,3,5,18
2,4,6,2,8,10,65
4,12,3,2,6,3,39
3,7,2,2,6,5,26
8,5,8,0,5,9,78
9,7,4,2,5,7,69
9,10,1,1,7,4,65
12,3,4,1,6,3,21
10,8,4,2,3,1,11
4,11,7,2,6,1,12
2,7,6,2,7,2,0
8,5,2,1,3,8,63
11,1,2,1,5,7,50
12,3,5,2,7,5,44
3,12,1,0,6,8,94
3,7,3,0,3,2,0
1,3,2,1,3,3,0
2,5,1,0,6,4,15
7,7,8,0,5,10,100
7,6,1,2,8,7,64
5,9,1,2,6,9,89
4,3,8,1,8,3,0
10,8,2,1,4,9,100
6,5,7,1,5,1,0
10,12,1,2,3,3,55
12,2,2,1,6,6,53
4,1,1,0,4,1,0
3,6,6,1,5,9,68
12,6,5,1,5,9,100
8,8,4,2,4,6,56
4,5,2,2,3,4,0
8,11,1,2,6,1,33
7,6,5,1,8,7,69
11,1,2,1,4,6,32
4,1,5,1,5,8,30
12,12,6,0,4,7,100
12,1,7,2,7,2,0
3,12,4,2,5,2,21
2,3,1,2,8,8,44
7,1,3,0,4,2,0
1,3,7,0,3,10,49
4,7,5,2,6,2,1
6,5,5,1,6,8,65
12,10,4,2,8,10,100
12,7,2,1,8,5,75
2,5,8,1,8,1,0
11,8,7,1,6,9,100
2,12,8,2,5,2,16
9,5,7,1,5,6,52
11,1,3,2,3,10,71
11,5,3,0,5,8,86
3,10,2,1,5,1,8
11,2,8,2,3,9,65
2,12,5,2,4,2,16
7,7,4,2,6,8,73
6,7,8,0,5,7,65
4,4,5,2,8,3,0
1,11,8,2,5,5,39
10,0,8,2,8,2,0
5,3,1,0,6,10,75
8,5,3,2,3,3,9
5,6,6,2,4,4,17
5,6,7,2,7,6,43
11,1,2,0,6,7,62
2,2,3,2,4,6,2
9,1,5,0,6,6,38
9,7,7,1,8,6,68
5,4,1,1,5,9,63
4,7,5,1,3,4,19
1,7,3,2,4,9,60
12,9,2,0,8,8,100
12,7,5,1,7,10,100
3,8,4,1,8,10,96
1,7,6,1,8,8,60
2,8,3,0,3,3,17
1,8,7,0,4,8,61
10,4,1,0,3,8,70
11,3,7,1,3,3,10
2,10,1,1,8,7,70
9,4,6,1,8,3,25
3,7,3,1,3,6,35
5,2,4,0,7,8,52
8,5,1,0,6,2,15
9,6,6,1,3,4,33
11,8,2,2,8,8,100
1,6,6,0,8,5,26
3,4,6,2,6,10,64
4,12,7,1,7,1,25
4,6,6,0,5,8,64
12,10,3,1,7,9,100
10,9,6,0,5,10,100
4,7,7,0,8,2,12
12,11,3,1,3,10,100
6,1,1,1,4,4,0
7,11,8,2,8,4,62
6,11,2,0,4,4,57
2,6,5,2,4,7,36
12,9,2,0,7,7,100
1,6,2,0,4,5,27
3,3,7,2,6,1,0
3,10,2,2,4,10,91
4,3,6,1,4,3,0
2,4,6,0,8,1,0
1,6,1,0,4,6,28
9,10,2,1,3,5,64
12,4,7,1,7,7,70
2,6,5,2,8,9,67
4,0,1,0,3,1,0
7,1,8,0,7,3,1
12,0,3,2,6,6,37
9,0,1,0,7,8,58
10,11,8,0,3,7,96
7,10,1,1,8,4,66
6,10,5,1,6,7,82
3,0,8,1,8,10,46
11,1,5,2,5,5,21
10,3,5,2,8,9,76
1,7,4,0,6,8,61
9,4,2,2,3,4,17
2,6,5,1,8,3,6
9,2,8,0,7,8,70
10,9,1,2,4,3,43
2,4,8,0,6,4,7
6,0,4,1,5,3,0
2,9,5,2,6,7,54
7,11,2,0,8,3,59
12,0,5,0,8,7,59
1,5,2,1,4,10,57
5,10,3,2,8,9,100
12,9,6,0,5,10,100
4,11,1,1,7,1,20
2,5,4,1,7,5,19
6,4,5,0,5,3,7
7,9,2,2,5,10,100
8,1,3,2,5,8,44
4,3,3,1,8,4,11
12,7,6,0,5,6,81
7,8,8,0,4,7,71
4,1,7,1,5,5,0
12,6,2,1,4,5,58
12,4,1,1,5,1,9
6,6,1,0,3,5,35
1,12,5,1,3,4,36
8,0,2,0,7,9,65
7,12,2,2,3,9,100
2,5,7,2,6,8,49
8,10,7,1,7,1,26
11,5,7,0,7,9,100
2,4,3,2,5,4,0
9,10,5,0,4,5,70
2,8,5,2,8,10,86
9,1,2,0,8,9,71
6,9,5,1,6,1,13
1,9,5,0,3,4,20
12,5,4,0,3,8,84
2,12,7,2,4,6,54
8,8,6,2,3,3,21
3,4,5,0,8,6,37
12,0,6,2,4,9,61
9,8,7,0,4,3,39
10,2,5,0,8,8,78
6,9,3,0,7,8,94
6,6,7,1,4,9,75
8,6,6,0,5,3,24
10,2,8,1,6,3,6
11,9,2,0,6,6,93
1,2,4,0,8,6,16
8,5,8,1,8,5,42
2,10,5,2,8,8,77
4,11,8,2,3,8,76
10,12,1,1,4,3,59
4,12,1,0,6,8,100
10,7,7,2,3,3,28
6,2,3,2,5,5,8
3,10,5,2,3,1,0
5,10,4,2,8,4,50
7,12,4,2,3,10,100
10,8,8,2,3,5,50
8,1,1,1,4,8,42
12,6,7,1,3,2,19
11,5,8,0,6,7,76
10,10,6,0,5,4,69
8,5,4,2,8,8,71
4,4,2,2,4,10,64
5,1,6,2,6,6,15
2,10,4,0,6,2,12
5,9,2,1,6,5,55
12,0,3,0,7,2,1
6,5,8,2,4,5,23
2,6,3,0,6,1,0
