importance,task_length,category,deadline_hours,duration
3,8,3,4,71
1,7,1,1,20
3,9,2,12,120
1,6,1,24,20
2,13,4,6,88
3,14,4,1,131
2,17,2,2,154
3,20,2,120,260
3,4,2,72,89
3,7,4,120,153
2,8,2,12,62
2,7,4,24,46
1,17,2,72,153
2,5,3,36,42
3,3,3,8,27
2,18,2,5,175
2,20,4,12,175
1,7,3,1,20
2,8,4,4,43
1,12,4,48,77
3,12,1,96,207
2,20,1,2,193
1,10,3,2,26
1,3,2,2,20
3,10,2,72,167
3,13,1,6,149
3,12,2,6,142
1,12,2,1,54
1,19,2,120,209
1,17,3,8,123
3,7,3,72,104
3,9,2,48,139
3,15,1,2,174
1,10,3,72,76
1,10,1,24,62
3,6,2,24,86
3,7,2,4,73
3,16,1,96,255
1,18,2,120,208
1,17,2,8,111
1,8,4,2,20
3,5,4,96,115
3,5,1,96,138
2,10,3,12,81
1,12,3,24,59
3,19,2,4,220
1,19,2,1,146
3,3,4,120,103
3,15,2,12,182
3,8,1,5,101
3,6,2,48,97
2,12,2,1,92
2,3,2,2,20
1,9,1,5,38
3,12,1,8,147
3,7,4,6,72
1,13,1,4,69
3,11,3,6,125
1,17,3,6,130
2,6,3,12,30
1,4,4,24,20
2,12,1,96,169
2,7,2,72,104
2,15,1,5,132
3,4,3,96,101
3,13,3,12,140
2,20,4,4,172
3,4,2,6,46
2,8,1,48,100
1,18,4,72,176
1,12,3,6,60
1,6,4,4,20
3,6,2,4,88
2,16,2,2,140
2,18,2,48,192
2,9,3,12,49
3,11,1,8,145
2,17,4,36,171
1,6,1,72,65
1,6,2,72,28
2,16,2,2,155
2,6,3,24,38
3,16,3,96,242
2,11,4,72,106
3,20,4,6,227
2,3,1,8,20
2,20,1,96,257
2,7,4,1,32
2,3,2,12,20
3,16,1,2,182
1,12,4,96,106
2,18,3,1,144
1,4,1,1,20
3,4,4,6,43
3,13,3,4,135
2,18,3,12,169
3,10,4,5,99
2,17,2,6,160
1,19,2,24,150
2,18,3,24,167
3,12,1,120,228
1,15,1,12,107
1,12,4,24,78
1,15,1,36,124
3,13,3,4,133
2,12,2,36,130
3,10,1,96,186
3,14,3,6,159
2,16,4,4,141
3,19,2,6,212
1,14,1,5,91
1,4,1,24,20
2,13,1,96,168
2,8,4,24,51
1,3,2,2,20
1,4,2,6,20
1,13,1,36,90
3,20,2,6,216
3,12,4,24,149
3,11,2,48,153
2,4,3,6,20
2,15,1,36,159
3,3,1,8,31
2,18,3,2,171
1,17,1,6,124
2,20,2,8,203
3,8,2,1,89
2,5,1,96,99
3,8,3,12,91
3,17,4,1,184
1,6,1,96,67
3,18,4,96,257
2,5,3,1,20
2,3,3,4,20
1,6,1,6,20
2,16,4,12,129
1,13,1,48,109
1,9,4,8,20
3,14,3,24,169
1,14,2,1,79
2,12,1,36,129
1,12,3,96,115
1,4,1,12,20
2,7,3,8,38
3,12,4,5,115
3,5,2,120,119
2,11,1,1,94
2,5,1,5,31
3,17,1,2,202
1,4,1,96,43
3,4,1,12,42
1,14,3,96,128
1,6,2,36,31
2,9,4,24,57
1,8,4,12,20
3,6,4,4,49
3,16,3,24,189
2,15,2,36,149
3,7,4,120,147
3,15,1,24,191
3,15,2,120,243
3,12,2,120,204
2,13,3,12,111
1,19,3,8,128
3,11,4,2,114
2,9,4,5,73
3,12,2,96,208
3,18,4,2,195
1,15,1,8,105
2,4,4,48,20
1,11,1,5,47
1,16,4,120,181
3,7,2,36,94
3,20,4,1,206
3,17,1,5,199
3,18,2,48,225
2,4,4,96,46
2,13,1,120,193
3,12,2,96,190
2,14,1,1,121
2,18,2,48,190
1,9,2,2,31
3,12,3,1,126
3,15,2,36,190
3,16,1,12,198
2,16,1,36,171
1,9,4,96,73
1,20,4,1,141
2,3,1,12,20
3,11,1,72,175
3,13,1,8,157
3,4,4,12,31
2,11,3,12,79
3,13,4,96,201
3,13,2,1,149
1,5,3,96,40
3,7,1,72,133
1,7,3,72,44
2,14,3,8,123
3,8,2,12,104
2,13,3,6,112
3,16,3,5,175
1,17,2,96,191
2,6,1,12,45
3,19,1,48,256
2,5,4,2,20
3,3,2,72,81
2,3,2,36,20
3,6,3,120,144
2,18,2,2,189
3,6,2,24,78
1,15,3,12,95
1,10,3,12,34
1,3,3,1,20
3,10,1,12,138
1,3,2,5,20
1,11,2,36,68
3,13,3,5,129
2,12,1,8,102
1,8,1,36,31
1,16,4,1,97
1,13,3,72,134
3,7,4,48,92
2,10,2,1,61
3,4,4,1,37
1,19,2,96,196
2,16,3,5,149
1,8,1,96,82
2,15,4,12,120
2,15,2,6,133
3,13,4,5,141
2,3,2,36,20
3,18,4,2,186
2,20,2,8,191
1,20,1,6,151
3,20,1,4,237
2,19,3,6,159
1,16,1,12,116
3,4,2,36,73
3,11,3,2,119
1,7,2,96,71
3,6,1,96,135
3,17,3,36,217
3,17,3,120,260
1,12,3,8,62
2,16,4,72,183
2,5,1,48,61
2,6,2,24,41
2,18,1,4,163
2,11,4,24,91
2,12,3,96,158
3,11,1,120,217
2,6,3,8,20
1,17,1,5,119
1,16,2,48,140
3,15,3,1,161
3,9,3,2,79
2,14,4,24,125
1,20,3,120,208
3,14,4,6,139
1,11,3,8,57
2,7,1,6,65
1,12,1,8,62
1,9,4,1,20
3,14,1,24,179
2,3,2,24,24
1,6,1,6,20
2,17,2,5,153
1,9,3,48,63
2,10,1,4,80
2,12,2,1,103
2,10,4,1,49
3,16,1,96,248
1,7,1,6,20
1,16,2,2,98
2,6,4,96,85
3,9,2,2,100
2,13,3,6,103
1,18,1,1,129
3,7,3,36,92
2,13,1,48,149
1,4,3,48,20
2,4,1,5,20
1,16,4,6,89
3,15,2,120,248
1,9,1,72,79
2,14,2,1,123
2,9,1,36,95
1,7,1,72,54
2,10,3,24,79
1,8,2,36,36
2,17,2,1,163
3,10,4,1,92
3,8,1,1,95
1,12,2,4,63
1,16,1,120,203
2,7,2,36,61
3,19,2,72,260
3,11,1,5,142
1,14,1,120,168
1,20,4,4,138
1,10,1,96,104
1,6,4,1,20
2,16,4,1,136
3,3,2,2,35
1,11,2,72,97
3,20,4,5,205
2,10,4,8,58
2,15,1,12,162
3,12,4,72,166
1,6,4,6,20
3,8,1,1,107
1,12,1,8,74
2,4,3,5,20
3,10,1,48,148
2,10,3,48,96
1,18,1,2,134
2,5,3,72,47
2,18,1,1,171
1,10,1,36,69
3,14,1,8,183
1,13,1,5,81
2,8,3,12,34
2,19,1,6,186
1,7,4,72,59
3,3,3,120,111
2,16,2,72,183
1,14,4,8,79
2,19,3,12,171
2,11,3,8,73
2,3,1,72,46
3,3,3,24,41
2,10,3,12,60
3,7,4,8,60
2,19,2,6,180
2,5,3,24,23
1,18,2,36,154
2,6,1,8,31
1,5,1,72,40
3,7,4,72,102
3,5,3,8,66
3,10,2,96,161
3,8,3,4,75
1,12,1,120,149
1,12,1,5,83
3,3,3,24,43
2,5,3,5,20
1,5,4,8,20
1,6,4,6,20
3,4,2,48,71
2,8,4,2,29
1,12,2,72,97
3,8,4,96,141
1,8,1,24,28
2,11,1,24,110
1,12,1,48,87
2,8,4,4,43
2,6,1,48,63
3,10,4,4,111
2,3,3,36,20
1,11,1,5,68
1,19,4,48,151
1,10,1,72,91
2,4,1,4,20
1,15,3,36,107
2,5,2,12,23
3,6,2,5,63
3,5,1,24,67
2,18,3,120,226
3,20,1,1,213
3,13,1,120,222
2,14,3,96,181
3,14,2,12,151
1,13,3,24,69
3,12,1,6,158
1,20,3,2,140
3,16,4,24,184
3,4,2,72,95
2,10,2,5,82
