sleep_hours,exercise_minutes,study_hours,screen_time,water_intake,best_habit
6,63,6,5,1,Study
7,19,4,6,2,Sleep
6,49,3,7,4,Study
5,10,5,6,2,Sleep
6,37,3,6,4,Study
5,29,2,4,2,Study
7,62,3,2,4,Study
6,51,4,5,4,Study
6,60,3,4,1,Study
5,56,5,6,1,Study
8,29,6,8,4,Exercise
5,49,3,6,4,Study
7,6,2,6,1,Sleep
8,38,3,2,3,Exercise
7,7,6,7,4,Sleep
7,48,2,5,4,Study
8,63,6,2,2,Exercise
5,45,3,3,4,Study
8,55,6,8,3,Exercise
7,19,5,9,4,Sleep
6,64,5,6,1,Study
6,38,6,9,3,Study
7,45,2,3,1,Study
8,51,4,4,2,Exercise
7,43,1,9,1,Study
5,24,2,3,2,Study
6,41,1,7,4,Study
7,44,5,3,3,Study
6,56,4,4,2,Study
8,33,5,5,2,Exercise
7,35,2,4,2,Study
5,35,2,8,3,Study
7,11,5,9,2,Sleep
5,10,5,6,1,Sleep
6,6,6,6,3,Sleep
6,44,1,2,4,Study
8,30,3,3,2,Exercise
8,56,1,2,1,Exercise
6,47,5,8,1,Study
7,13,1,3,4,Sleep
7,11,5,4,4,Sleep
7,26,1,8,1,Study
7,60,1,7,1,Study
8,7,6,6,1,Exercise
8,16,3,2,2,Exercise
8,6,3,6,4,Exercise
5,29,4,6,1,Study
6,64,2,4,4,Study
6,46,5,7,1,Study
7,34,3,9,3,Study
7,13,2,4,2,Sleep
7,26,3,4,4,Study
6,36,1,4,2,Study
6,21,2,8,2,Sleep
6,47,4,2,1,Study
8,63,1,9,4,Exercise
6,17,1,8,2,Sleep
5,20,4,5,2,Sleep
8,12,3,6,3,Exercise
5,48,1,9,3,Study
7,32,5,8,3,Study
8,22,5,4,2,Exercise
6,18,1,2,1,Sleep
6,9,2,7,1,Sleep
6,33,3,3,1,Study
5,45,5,2,3,Study
5,19,1,9,3,Sleep
5,5,5,5,3,Sleep
6,33,2,7,4,Study
7,45,1,3,1,Study
5,25,6,2,4,Study
8,20,1,2,4,Exercise
7,14,1,4,3,Sleep
5,49,6,2,3,Study
8,56,4,5,1,Exercise
5,51,3,4,1,Study
7,36,5,6,1,Study
6,48,4,6,3,Study
7,28,4,4,2,Study
8,6,1,5,1,Exercise
8,27,4,2,1,Exercise
6,47,2,4,1,Study
7,43,5,9,3,Study
8,64,4,9,3,Exercise
7,64,1,5,3,Study
8,19,6,9,1,Exercise
6,5,2,6,1,Sleep
6,21,2,3,1,Sleep
7,57,6,8,4,Study
8,53,5,5,3,Exercise
8,10,6,6,2,Exercise
7,14,4,7,1,Sleep
7,38,6,4,2,Study
7,44,1,7,4,Study
6,63,4,6,1,Study
6,50,2,4,4,Study
6,17,3,4,2,Sleep
8,7,2,7,1,Exercise
7,43,2,3,4,Study
8,38,3,2,3,Exercise
5,60,6,9,3,Study
8,39,4,4,1,Exercise
7,35,3,7,2,Study
8,23,3,7,3,Exercise
6,10,4,8,3,Sleep
6,57,2,7,1,Study
5,54,4,7,3,Study
8,14,5,8,4,Exercise
7,47,2,9,4,Study
8,26,4,2,1,Exercise
5,31,5,7,4,Study
5,55,4,3,3,Study
8,55,2,9,1,Exercise
5,16,4,2,1,Sleep
7,23,5,3,4,Study
6,54,2,3,1,Study
8,60,4,6,1,Exercise
8,9,5,2,2,Exercise
8,55,2,2,3,Exercise
6,34,3,6,3,Study
7,40,6,9,3,Study
7,9,3,6,4,Sleep
8,45,4,5,4,Exercise
5,45,1,7,1,Study
8,44,6,6,1,Exercise
6,52,4,5,1,Study
5,61,5,6,2,Study
7,55,4,2,2,Study
8,49,3,3,4,Exercise
5,63,3,7,2,Study
5,45,5,4,1,Study
8,45,6,2,4,Exercise
8,37,1,2,2,Exercise
5,51,6,8,4,Study
8,9,5,4,4,Exercise
8,35,1,2,4,Exercise
8,30,1,7,4,Exercise
5,59,5,6,1,Study
7,9,6,5,3,Sleep
8,43,3,9,2,Exercise
8,16,4,4,3,Exercise
7,58,6,6,3,Study
5,56,2,7,3,Study
5,19,2,6,2,Sleep
6,57,6,3,4,Study
5,34,2,7,3,Study
5,63,3,7,4,Study
5,48,3,2,1,Study
8,7,4,3,4,Exercise
7,17,2,7,2,Sleep
7,29,5,2,2,Study
8,17,5,9,4,Exercise
6,12,2,2,2,Sleep
6,63,3,9,2,Study
5,57,1,7,4,Study
6,31,2,5,4,Study
5,17,6,4,2,Sleep
7,15,4,4,2,Sleep
8,59,4,7,1,Exercise
7,24,6,8,1,Study
6,5,5,3,3,Sleep
7,28,5,6,2,Study
8,32,5,9,4,Exercise
6,42,3,4,1,Study
6,25,4,7,3,Study
7,60,2,3,3,Study
5,43,6,8,3,Study
8,64,2,3,1,Exercise
6,27,6,4,2,Study
6,44,6,5,3,Study
7,26,1,4,2,Study
5,46,5,3,4,Study
5,49,6,7,3,Study
5,24,4,2,2,Study
6,61,3,9,1,Study
7,56,6,2,1,Study
5,58,4,4,2,Study
6,18,1,9,2,Sleep
8,48,2,3,4,Exercise
8,11,5,2,4,Exercise
5,11,3,7,1,Sleep
7,63,2,2,3,Study
5,14,5,9,2,Sleep
7,56,1,5,1,Study
8,30,2,8,3,Exercise
8,23,3,3,3,Exercise
5,9,1,3,1,Sleep
6,45,3,9,2,Study
8,48,6,8,3,Exercise
8,33,6,9,2,Exercise
6,53,6,4,2,Study
5,24,2,5,1,Study
6,38,1,6,1,Study
7,22,5,5,4,Sleep
6,39,3,3,3,Study
8,13,5,5,1,Exercise
8,33,1,6,2,Exercise
8,37,5,2,1,Exercise
5,38,4,4,2,Study
8,31,6,4,1,Exercise
8,43,1,2,3,Exercise
6,35,3,2,3,Study
7,21,6,5,3,Sleep
8,17,3,2,2,Exercise
8,43,4,4,2,Exercise
7,61,1,6,1,Study
5,50,5,8,1,Study
7,43,2,2,2,Study
7,60,4,5,2,Study
5,58,6,2,3,Study
8,35,4,5,1,Exercise
5,11,3,5,2,Sleep
8,43,2,8,4,Exercise
7,42,3,5,4,Study
6,21,6,9,4,Sleep
5,55,2,3,2,Study
5,57,4,2,1,Study
7,24,3,2,1,Study
6,33,2,4,1,Study
8,16,5,3,4,Exercise
5,15,3,2,4,Sleep
8,20,2,3,4,Exercise
8,26,4,9,3,Exercise
5,21,5,8,2,Sleep
7,14,6,2,2,Sleep
