importance,deadline_hours,duration,category,priority
3,48,165,1,High
1,120,156,2,Low
3,12,237,3,High
3,120,78,4,Low
1,12,80,2,Medium
1,96,109,2,Low
1,48,185,1,High
1,2,212,1,Critical
3,36,88,1,High
3,96,53,2,Low
3,2,158,3,Critical
3,72,156,1,Low
3,2,109,1,Critical
3,96,68,4,Low
3,72,209,4,Low
2,2,208,3,Critical
3,48,187,3,High
1,2,152,3,Critical
2,24,85,2,Medium
3,120,115,1,Low
1,4,44,2,Critical
1,4,82,3,Critical
1,8,125,3,High
1,6,122,3,High
2,1,46,3,Critical
3,8,232,1,High
1,5,86,3,Critical
3,2,137,4,Critical
3,5,128,3,Critical
3,1,129,3,Critical
3,96,208,1,Low
1,120,187,4,Low
2,6,213,2,High
3,96,109,2,Low
3,8,85,2,High
2,96,120,1,Low
3,4,148,4,Critical
3,5,101,3,Critical
1,48,127,2,High
3,4,61,4,Critical
1,72,153,1,Low
2,8,180,2,High
1,8,141,3,High
3,8,214,1,High
1,72,240,3,Low
2,1,221,4,Critical
3,48,49,3,High
3,72,215,1,Low
1,72,100,3,Low
3,120,125,2,Low
2,72,116,3,Low
3,12,89,3,High
2,12,215,1,High
1,8,164,1,High
1,72,234,1,Low
1,8,231,1,High
3,24,118,2,High
3,2,183,1,Critical
2,6,135,4,High
3,5,134,4,Critical
1,8,186,1,High
3,12,175,2,High
1,48,222,3,High
1,8,193,3,High
3,2,161,3,Critical
2,24,223,4,High
1,1,51,3,Critical
3,96,191,3,Low
1,72,112,3,Low
3,4,121,3,Critical
1,5,194,2,Critical
1,1,87,3,Critical
1,6,216,4,High
2,1,135,2,Critical
1,120,103,1,Low
1,2,99,3,Critical
3,36,118,4,High
2,24,228,4,High
2,5,51,3,Critical
1,72,137,4,Low
1,2,206,2,Critical
1,96,129,2,Low
3,48,149,2,High
1,36,103,2,Medium
1,96,58,3,Low
3,8,164,4,High
2,5,224,2,Critical
3,4,139,1,Critical
2,120,121,4,Low
3,8,57,4,High
3,72,229,4,Low
2,6,213,2,High
3,120,220,3,Low
2,96,105,3,Low
3,6,161,4,High
2,12,121,4,High
3,72,79,4,Low
2,4,73,2,Critical
2,1,110,1,Critical
2,5,146,1,Critical
3,24,55,4,High
3,2,178,4,Critical
3,6,126,1,High
3,96,215,2,Low
1,1,88,1,Critical
3,1,40,2,Critical
3,8,95,3,High
1,1,235,3,Critical
3,1,97,2,Critical
2,4,178,2,Critical
1,2,207,3,Critical
1,72,89,3,Low
2,2,165,1,Critical
1,12,73,1,Medium
3,48,106,2,High
3,36,92,2,High
3,36,171,4,High
2,6,214,4,High
2,96,83,3,Low
3,1,91,1,Critical
3,2,203,1,Critical
1,96,127,2,Low
2,1,138,3,Critical
3,4,178,3,Critical
3,4,59,1,Critical
3,1,213,4,Critical
1,2,107,2,Critical
2,24,168,3,High
1,36,121,1,High
3,2,188,4,Critical
2,120,159,3,Low
1,2,66,1,Critical
1,36,69,2,Medium
3,72,215,2,Low
3,12,139,1,High
3,12,88,4,High
3,2,60,4,Critical
3,5,57,4,Critical
3,96,224,2,Low
3,6,235,3,High
3,1,113,2,Critical
2,48,72,2,Medium
3,36,118,3,High
3,1,58,2,Critical
1,1,145,4,Critical
3,2,162,1,Critical
2,1,237,1,Critical
1,36,97,4,Medium
1,2,71,4,Critical
1,24,58,4,Medium
3,4,109,2,Critical
3,120,156,2,Low
1,48,44,1,Medium
2,6,190,2,High
2,8,127,3,High
2,1,197,2,Critical
2,1,127,2,Critical
3,12,62,1,High
2,1,34,2,Critical
2,36,147,3,High
2,6,143,3,High
2,2,201,3,Critical
3,12,215,4,High
2,24,63,1,Medium
3,48,96,2,High
2,4,73,3,Critical
3,24,52,2,High
3,72,30,4,Low
3,5,47,1,Critical
2,72,140,1,Low
2,48,62,2,Medium
2,8,71,2,Medium
2,96,54,4,Low
3,120,182,2,Low
3,5,164,2,Critical
3,120,233,1,Low
3,1,53,2,Critical
3,2,74,3,Critical
2,1,126,3,Critical
1,6,166,3,High
2,120,57,2,Low
3,24,74,1,High
3,36,118,1,High
2,2,33,1,Critical
3,12,113,3,High
1,6,190,4,High
2,12,141,4,High
3,5,121,2,Critical
2,4,132,1,Critical
3,120,229,3,Low
2,24,139,1,High
2,8,142,3,High
2,1,226,2,Critical
3,48,63,4,High
1,12,50,3,Medium
1,8,124,3,High
2,36,97,2,Medium
1,2,72,4,Critical
2,12,55,3,Medium
2,96,215,3,Low
1,12,159,2,High
2,1,175,2,Critical
2,4,54,4,Critical
3,1,102,2,Critical
