tasks_completed,tasks_pending,focus_hours,breaks,meetings,productivity
9,2,6,5,2,84
8,2,2,4,4,80
8,2,9,5,2,78
10,2,2,5,2,79
2,4,6,5,5,62
10,2,4,5,3,85
8,1,2,7,5,73
6,5,5,3,4,71
6,8,9,4,5,61
7,1,3,2,1,89
7,5,4,4,5,65
5,7,3,7,5,52
3,7,2,5,0,69
3,1,3,2,2,88
5,8,6,7,2,58
4,0,8,6,2,82
7,2,7,4,4,78
11,3,8,2,4,83
2,9,7,3,1,64
4,2,5,6,3,74
1,8,9,5,5,55
12,10,3,2,2,69
9,10,7,2,5,57
3,3,2,7,3,63
5,1,8,4,5,79
9,2,2,5,5,78
12,8,3,3,0,76
7,2,5,1,4,85
4,7,7,3,1,73
9,4,2,5,4,67
9,8,4,3,4,69
8,6,4,5,1,72
1,6,7,4,0,71
9,8,9,3,2,71
1,10,6,2,1,63
11,4,6,2,3,87
11,5,4,2,0,86
7,6,8,6,0,72
8,9,2,3,2,68
1,5,3,6,4,58
11,4,3,3,1,85
4,9,4,3,1,67
4,10,5,7,0,50
9,6,9,7,1,69
12,1,7,3,1,94
6,3,5,2,1,88
7,5,3,6,2,68
7,7,7,1,1,81
4,7,4,4,4,66
8,9,9,5,2,59
12,0,5,5,4,83
5,5,6,1,3,81
10,7,9,1,3,79
10,10,4,2,3,67
11,1,5,1,5,98
9,9,6,4,1,69
12,0,4,7,5,79
9,2,2,3,1,87
12,9,4,4,0,68
9,8,2,2,4,66
11,10,7,1,5,67
11,6,2,5,0,76
12,6,4,2,3,79
8,5,9,4,3,73
9,5,6,5,1,74
12,5,7,6,3,70
5,3,7,2,4,82
2,9,4,5,3,57
11,3,7,7,3,69
8,6,3,4,5,67
6,7,7,1,1,77
9,5,7,2,3,81
1,6,9,6,1,65
6,0,9,6,5,81
4,3,2,3,1,81
4,4,4,2,5,74
12,4,6,3,3,83
7,9,4,2,1,68
2,9,6,6,4,50
5,7,8,6,1,64
3,3,4,1,1,86
11,0,9,6,2,85
4,8,9,6,4,59
5,9,9,5,2,59
5,5,2,7,3,63
3,9,4,1,3,67
10,10,2,5,1,57
7,6,2,1,1,83
6,2,2,7,1,71
5,0,5,4,1,91
9,8,2,1,5,66
2,6,4,6,2,63
12,1,9,6,2,80
7,0,9,4,4,85
3,10,9,3,4,60
7,3,2,1,4,80
11,3,7,7,3,71
3,6,7,2,5,70
7,4,3,6,5,66
8,10,9,5,1,54
10,7,5,5,0,78
7,3,9,5,2,80
9,2,2,7,5,70
10,9,7,1,5,67
11,6,3,7,4,55
5,10,9,1,4,66
9,3,6,7,1,74
3,0,2,2,3,90
11,9,3,6,1,61
12,2,4,1,3,92
4,9,2,4,1,61
7,7,2,4,0,75
10,2,9,7,5,67
1,8,9,1,5,72
9,0,6,1,4,100
10,4,9,5,3,80
11,3,7,1,1,97
3,7,2,6,3,57
10,5,7,1,4,84
10,6,2,7,3,62
1,5,8,4,1,69
9,8,4,7,2,63
8,1,3,1,5,90
12,7,4,2,1,79
1,0,7,4,5,75
12,0,8,1,4,94
7,7,6,1,5,65
4,1,3,3,3,86
5,8,9,6,1,58
10,1,8,5,0,91
12,1,5,1,3,92
4,10,6,1,2,63
12,1,9,5,0,92
8,10,5,3,5,56
3,3,2,6,5,67
8,8,3,3,2,65
10,10,6,3,4,59
1,1,9,2,2,81
1,3,7,2,2,76
1,6,6,5,3,69
7,9,4,4,2,69
1,2,5,5,4,72
12,2,2,1,1,93
