priority,energy_level,deadline_hours,duration,best_hour
3,7,5,62,11
1,4,120,149,21
2,10,12,99,10
1,8,30,106,14
2,4,120,143,20
2,8,48,41,13
2,7,36,150,13
3,4,120,132,18
2,10,36,90,10
2,6,4,105,13
1,4,36,41,18
3,8,6,60,11
1,6,6,67,16
2,8,30,162,10
1,5,6,47,13
1,9,1,73,13
2,6,120,49,18
3,6,24,72,13
1,9,30,31,14
2,7,48,71,15
3,4,30,139,13
2,8,24,145,11
1,8,48,87,14
1,6,5,136,15
3,5,72,123,14
1,4,36,166,16
1,9,3,151,11
1,4,3,64,16
3,8,96,118,14
2,9,96,148,13
3,6,120,76,18
2,5,2,116,13
1,9,96,90,15
1,8,72,76,13
1,4,48,60,17
1,8,12,35,14
2,4,18,143,15
1,6,8,153,15
1,6,1,128,15
2,9,18,66,14
2,10,4,32,10
3,8,4,125,9
2,9,1,60,10
2,4,12,112,14
2,4,1,176,13
1,9,72,30,15
2,6,96,117,18
2,7,48,180,15
1,8,5,80,13
3,6,3,152,14
2,8,18,155,11
3,9,30,103,9
1,5,1,76,16
3,8,72,132,11
2,5,12,123,13
3,6,72,101,15
2,9,2,59,11
2,10,8,142,10
1,4,12,61,15
3,8,1,50,11
1,7,36,40,16
1,8,96,97,16
2,9,18,48,11
3,4,8,80,13
3,9,30,66,10
3,5,6,99,14
2,5,6,147,14
3,7,48,98,12
2,4,24,114,13
2,8,5,51,13
1,7,8,47,13
3,7,72,177,14
1,4,18,123,15
1,9,2,32,11
2,4,72,115,17
2,5,36,31,18
1,6,5,41,16
2,8,120,86,16
1,6,120,129,18
2,9,120,123,12
3,10,8,149,8
3,9,96,57,10
1,4,48,58,20
2,9,72,110,15
2,5,18,161,15
1,10,5,139,11
1,10,4,131,9
1,4,120,44,20
3,4,18,162,16
2,8,96,178,14
1,5,18,117,15
3,10,18,80,8
1,7,2,130,15
3,8,8,127,11
2,10,18,170,8
1,5,2,46,14
2,7,3,107,11
3,10,24,137,9
2,4,4,82,15
3,5,36,156,13
3,5,12,39,15
1,6,8,45,15
3,4,2,149,15
2,5,8,49,14
3,9,18,93,14
2,7,24,72,13
2,6,5,133,12
2,6,1,31,12
3,10,96,83,12
1,7,120,178,15
3,7,96,85,15
1,10,5,120,9
3,4,24,179,14
1,7,3,121,12
1,9,96,144,14
1,7,1,174,14
2,10,12,123,13
1,10,72,155,12
2,6,36,106,14
3,9,72,152,11
1,5,12,126,14
2,5,2,81,13
3,10,1,114,10
2,4,3,80,14
3,6,1,89,15
2,8,12,74,13
1,6,1,104,13
2,9,3,82,11
2,5,8,124,13
1,7,36,85,16
3,4,30,104,13
1,5,1,51,14
1,5,96,88,17
1,9,18,83,13
3,5,6,175,14
2,8,8,97,14
3,6,72,33,16
2,7,12,76,13
1,10,4,140,12
2,10,8,54,9
1,4,2,54,14
2,9,3,86,12
1,10,6,83,10
3,8,4,102,11
2,5,6,35,15
1,8,2,138,13
3,8,24,62,13
2,8,2,137,12
1,7,4,115,14
2,7,120,60,16
1,8,1,100,13
3,7,5,35,11
2,9,18,135,11
3,8,5,75,14
3,6,6,87,13
3,8,3,53,12
2,9,8,85,10
1,7,48,89,16
2,9,24,63,13
2,4,96,177,18
1,6,36,72,16
3,8,48,57,14
3,10,8,112,11
2,8,24,78,13
3,8,24,98,11
3,6,72,139,15
1,8,18,41,12
2,6,8,106,12
3,4,2,33,14
2,5,72,36,15
3,8,8,43,12
